mmsi,inferred,known
205291090,cargo_or_tanker,
205291190,cargo_or_tanker,
205291690,cargo_or_tanker,
205291790,cargo_or_tanker,
205291990,cargo_or_tanker,
205292090,cargo_or_tanker,
205292490,cargo_or_tanker,
205292590,cargo_or_tanker,
205292690,cargo_or_tanker,
205293190,cargo_or_tanker,
205293390,cargo_or_tanker,
205293490,cargo_or_tanker,
205294190,cargo_or_tanker,
205294790,cargo_or_tanker,
205294890,cargo_or_tanker,
205295290,cargo_or_tanker,
205295490,cargo_or_tanker,
205295690,cargo_or_tanker,cargo_or_tanker
205295890,cargo_or_tanker,
205296000,trawlers,trawlers
205296990,cargo_or_tanker,
205297590,cargo_or_tanker,
205298090,cargo_or_tanker,
205298590,cargo_or_tanker,
205298790,cargo_or_tanker,
205298990,cargo_or_tanker,cargo_or_tanker
205299190,passenger,
205299990,cargo_or_tanker,
205300000,tug,
205300190,cargo_or_tanker,
205300690,cargo_or_tanker,cargo_or_tanker
205301190,cargo_or_tanker,
205301290,cargo_or_tanker,cargo_or_tanker
205302590,cargo_or_tanker,
205302690,cargo_or_tanker,
205302990,cargo_or_tanker,
205303000,trawlers,trawlers
205303090,cargo_or_tanker,
205303490,cargo_or_tanker,
205303590,cargo_or_tanker,
205303690,cargo_or_tanker,
205304090,cargo_or_tanker,
205304190,cargo_or_tanker,
205304790,cargo_or_tanker,
205305190,cargo_or_tanker,
205305490,cargo_or_tanker,
205305590,cargo_or_tanker,
205305890,passenger,
205305990,cargo_or_tanker,
205306000,trawlers,trawlers
205306390,cargo_or_tanker,
205307290,cargo_or_tanker,
205307600,cargo_or_tanker,
205307790,cargo_or_tanker,
205307990,cargo_or_tanker,
205308190,cargo_or_tanker,
205308290,cargo_or_tanker,
205309000,cargo_or_tanker,
205309590,cargo_or_tanker,
205310490,cargo_or_tanker,
205311000,fixed_gear,fixed_gear
205311190,cargo_or_tanker,
205311290,cargo_or_tanker,
205311390,cargo_or_tanker,
205311490,cargo_or_tanker,
