mmsi,power,length,tonnage
257302040,147,10.48, 
257302240,430,11.43, 
257302620,218,10.99, 10
257302720,122,10.13, 13
257303240,202,10.14, 9
257303320,200,10.62, 14
257303620,115,10.35, 7
257303740,369,10.42, 
257303920,185,10.62, 14
257304340,175,10.65, 
257304440,145,9.4, 
257304540,425,10.66, 
257304820,180,10.64, 14
257304940,829,12.96, 
257305000,1000,38.55, 499
257305140,155,10.5, 11
257305240,369,10.18, 
257305340,375,9.99, 
257305840,650,10.63, 
257306620,130,10.61, 14
257307340,1015,12.98, 
257307940,184,10.23, 5
257308040,873,12.92, 
257308140,340,12.95, 
257308740,450,14.88, 
257308840,429,10.65, 
257309020,112,10.55, 9
257309220,410,15.67, 23
257309440,300,10.66, 15
257309640,222,9.68, 
257309840,200,10.65, 
257310640,152,10.62, 
257310740,500,10.66, 
257311040,115,9.58, 8
257311120,160,12.03, 14
257311140,829,12.97, 
257311640,160,10.66, 8
257311720,320,12.98, 12
257311740,152,10.6, 12
257311940,291,12.96, 
257312140,125,10.34, 9
257312220,185,10.61, 14
257312340,350,13.58, 21
257312540,829,12.95, 
257312640,500,10.65, 
257312740,913,14.99, 
257312840,175,10.64, 12
257312920,131,10.6, 14
257313120,155,10.62, 14
257313240,330,12.88, 
257313640,100,10.6, 12
257313720,117,10.6, 14
257314440,369,10.42, 
257316320,115,10.64, 10
257316340,550,14.84, 36
257317000,6400,69.8, 
257317120,205,10.62, 14
257317340,208,10.6, 
257318020,180,10.62, 14
257318620,112,10.04, 11
257323500,184,9.44, 
257325420,180,9.45, 9
257325720,156,12.83, 17
257326420,102,9.72, 12
257327000,7507,68.3, 
257327120,156,12.83, 18
257328520,168,10.52, 12
257329600,500,12.2, 
257330520,135,10.03, 9
257331820,154,10.66, 12
257332420,186,12.83, 17
257332620,167,10.64, 10
257335220,160,10.6, 12
257336000,1000,20.99, 
257337720,190,10.62, 14
257340520,127,10.05, 12
257341320,120,10.46, 8
257342720,152,10.64, 10
257345120,68,9.45, 8
257345220,260,12.83, 17
257345520,154,10.65, 11
257345720,210,13.6, 17
257345820,156,12.83, 18
257346920,322,15.6, 24
257347900,85,9.52, 9
257348700,135,10.14, 8
257349500,1020,33.18, 
257349820,102,11.95, 11
257350520,250,12.8, 17
257354020,210,12.83, 17
257355020,350,12.83, 17
257355820,135,11.25, 13
257358020,109,9.98, 10
257358120,180,10.56, 15
257359120,102,10.55, 12
257360220,330,16.18, 24
257361220,145,10.66, 11
257361320,115,12.03, 15
257362020,70,9.44, 8
257367000,1800,34.07, 499
257367120,100,10.64, 9
257368020,120,9.52, 9
257368420,130,10.65, 10
257371920,190,10.6, 12
257373220,68,8.78, 6
257384820,150,10.3, 10
257387000,850,32.11, 270
257388000,3261,44.9, 
257390920,326,14.6, 24
257391020,115,10.14, 10
257396000,900,23.9, 188
257396920,150,10.62, 14
257399720,180,13.41, 22
257400020,109,10.5, 12
257400900,109,10.65, 12
257404120,210,13.03, 20
257404820,180,10.99, 16
257405120,156,10.57, 9
257405500,610,25.65, 136
257409500,1014,27.28, 
257410600,330,10.25, 11
257413420,115,10.66, 12
257413500,300,19.26, 47
257413720,218,13.03, 18
257414320,112,10.16, 11
257414420,210,14.38, 23
257414820,154,10.65, 11
257418120,135,9.45, 8
257418600,115,10.5, 12
257420320,167,10.59, 14
257420820,100,10.28, 10
257422120,102,12.0, 14
257422420,152,10.03, 10
257422500,154,10.64, 
257423000,650,20.95, 204
257427920,68,10.2, 10
257429500,270,12.98, 12
257429720,152,10.6, 9
257430820,102,10.61, 14
257431920,120,9.4, 8
257432500,550,20.1, 72
257434720,287,10.95, 17
257435500,1075,27.43, 
257435520,128,10.5, 11
257436500,1000,27.47, 173
257437000,5400,67.0, 
257440420,225,9.99, 
257440500,532,21.3, 96
257440600,152,10.36, 10
257442600,230,12.55, 20
257444500,438,18.52, 44
257444600,300,11.8, 
257444820,81,9.14, 
257444900,400,10.65, 
257445000,1000,34.07, 
257445500,650,23.5, 129
257446500,730,20.95, 149
257447020,250,12.44, 14
257449420,200,12.05, 14
257452120,167,10.62, 14
257452220,190,12.13, 14
257454000,570,28.32, 
257456500,993,35.17, 
257457600,525,14.99, 
257457700,350,12.99, 
257458620,260,16.05, 24
257458800,800,24.27, 
257459500,1000,24.05, 130
257459520,406,14.48, 24
257460220,120,10.43, 12
257460500,950,28.18, 
257460920,117,10.6, 12
257463500,540,26.0, 184
257467020,152,9.5, 8
257468320,226,11.24, 12
257469000,979,26.4, 320
257469320,72,10.11, 10
257473920,150,10.53, 14
257475120,171,12.01, 12
257475500,730,21.2, 134
257476420,152,10.25, 7
257476800,300,13.05, 
257478020,108,9.79, 9
257478800,291,14.45, 
257479420,215,11.99, 14
257479800,230,10.66, 12
257480600,265,12.91, 
257481720,250,10.87, 20
257483220,135,9.47, 8
257485600,450,18.23, 26
257485720,204,10.62, 
257486020,316,14.98, 21
257486720,115,10.4, 11
257487600,990,14.98, 
257487700,425,10.66, 
257487800,496,10.66, 
257488920,530,17.5, 45
257489500,2600,44.35, 
257490700,800,14.98, 
257492800,525,14.98, 89
257495600,112,10.05, 9
257496420,210,12.86, 15
257499800,525,14.99, 
257501600,182,14.12, 20
257507500,440,20.99, 81
257508600,540,14.94, 24
257511600,160,12.12, 18
257523500,600,23.1, 130
257524500,1200,33.28, 
257525600,540,18.66, 76
257526600,250,14.09, 23
257528700,500,10.99, 
257529000,1632,34.0, 
257529600,750,21.3, 127
257530500,600,21.69, 62
257530900,430,14.99, 39
257531600,470,22.0, 154
257535800,291,12.99, 
257536700,3500,55.0, 
257538500,425,24.15, 99
257538600,400,14.98, 23
257541500,540,23.09, 89
257541600,3750,61.75, 
257543500,525,21.61, 79
257547500,430,18.35, 81
257547600,352,14.93, 25
257548500,630,25.5, 140
257548600,720,21.3, 162
257549600,500,14.99, 80
257549800,600,18.0, 
257552500,650,23.95, 99
257553800,250,10.66, 
257555500,1100,38.1, 
257558500,524,19.29, 49
257563500,775,27.42, 
257563600,1500,39.9, 
257564600,1000,27.99, 320
257565500,550,19.05, 62
257565600,999,27.0, 267
257566600,1700,27.3, 
257569600,380,14.95, 
257570500,624,20.88, 149
257570600,775,21.34, 172
257571600,3264,59.25, 
257573800,135,9.1, 9
257574500,918,21.33, 156
257574600,900,27.91, 272
257574800,300,10.65, 
257576600,970,23.4, 232
257577500,534,19.3, 81
257578600,1300,36.9, 
257580170,103,10.66, 7
257580600,1005,27.4, 361
257582600,1800,49.48, 
257583600,2180,27.28, 242
257584600,800,30.0, 
257586600,960,31.7, 
257587500,1000,27.42, 210
257587600,640,20.99, 146
257589600,1000,33.19, 
257589800,230,10.99, 9
257591600,600,28.1, 324
257591700,420,10.01, 
257592500,450,19.55, 68
257592700,400,10.96, 
257593600,6120,71.1, 
257594600,1000,36.99, 
257594800,520,14.99, 
257595600,1000,27.15, 274
257599500,750,39.2, 
257600800,230,10.99, 
257601150,102,10.57, 9
257602000,1018,38.55, 498
257603500,775,27.43, 
257603600,291,12.98, 
257604600,175,12.19, 
257605500,600,21.67, 78
257607600,990,14.97, 
257608500,1030,26.14, 
257608800,369,9.65, 9
257611500,540,20.99, 144
257611700,303,9.55, 
257614700,170,10.98, 
257616500,430,9.06, 7
257617500,600,19.22, 84
257618500,380,14.98, 24
257619000,950,27.4, 
257620500,200,14.3, 24
257629600,1000,27.4, 267
257631500,400,14.99, 24
257632500,291,14.99, 25
257636600,650,14.99, 
257641500,750,22.72, 113
257645500,285,10.99, 
257646700,500,14.99, 
257647500,450,14.99, 24
257648500,520,23.65, 99
257649500,275,21.3, 72
257650500,450,18.8, 70
257651500,675,22.7, 96
257654500,1015,38.7, 
257656000,6400,68.8, 
257657500,245,13.3, 15
257657600,600,14.99, 
257659500,720,20.95, 92
257660500,380,14.38, 24
257663500,360,20.21, 61
257665700,285,10.99, 
257666500,380,14.23, 23
257667440,152,10.66, 12
257667600,525,14.96, 
257669500,120,12.12, 12
257670500,156,12.8, 17
257671500,183,15.29, 22
257671700,165,10.94, 
257675500,412,14.98, 43
257679500,220,12.07, 18
257685800,5364,74.8, 
257689500,210,16.31, 25
257693500,220,13.3, 19
257695500,250,14.32, 24
257695600,425,10.49, 
257695700,130,10.45, 9
257696600,300,10.97, 
257699600,285,10.99, 
257702700,256,10.6, 
257702890,340,10.42, 
257703600,800,12.96, 
257705500,480,14.95, 25
257710800,260,9.16, 
257714500,600,20.97, 117
257722500,300,18.47, 46
257724600,400,12.46, 
257725500,160,12.2, 18
257726500,480,14.99, 42
257728700,610,10.99, 
257730500,183,12.2, 19
257731500,180,12.27, 18
257733500,400,16.11, 44
257735500,311,14.24, 16
257736600,255,10.99, 
257739500,240,17.59, 40
257739600,300,10.65, 
257739700,300,10.65, 
257741890,340,9.94, 6
257742500,311,14.97, 25
257747800,630,14.98, 80
257748500,195,14.36, 23
257750500,312,14.93, 20
257754500,324,13.96, 23
257757500,367,15.5, 24
257758500,265,12.22, 18
257760600,115,9.63, 
257764500,360,14.6, 20
257767490,750,14.98, 
257768500,450,16.21, 23
257773500,367,16.9, 24
257776500,275,15.45, 24
257777800,650,10.98, 
257782500,250,13.14, 20
257783500,325,18.39, 55
257785980,127,9.57, 7
257786700,4896,75.05, 
257797700,450,17.0, 75
257798700,265,12.3, 14
257801500,1060,27.3, 
257806000,7300,69.7, 
257806700,405,12.99, 
257809000,720,27.4, 
257810500,565,31.55, 
257811700,450,14.92, 47
257812500,320,15.01, 48
257814610,300,14.71, 24
257815000,4705,67.5, 
257816500,425,27.4, 
257817500,500,20.98, 106
257820500,310,15.94, 28
257825500,320,19.01, 99
257836700,140,10.99, 
257837600,320,10.65, 
257842500,660,23.08, 187
257850500,786,27.49, 
257852000,4896,69.95, 
257853190,425,10.66, 
257855500,600,26.27, 184
257855600,370,10.4, 
257859260,125,10.58, 12
257862500,368,14.98, 24
257863500,329,14.99, 25
257864800,500,14.95, 
257865500,730,21.32, 132
257872700,215,10.77, 
257878700,185,12.06, 
257883500,650,20.6, 80
257886500,565,25.07, 129
257887600,3750,55.2, 
257888000,4021,62.6, 
257888500,990,27.3, 
257898500,480,18.6, 107
257903700,318,14.95, 51
257905600,370,10.66, 
257908700,369,10.66, 
257910500,150,10.64, 16
257911600,600,27.96, 
257913000,5440,77.5, 
257933500,245,13.05, 15
257938500,250,12.87, 17
257939500,440,17.24, 39
257943500,500,14.95, 
257946000,6000,64.0, 
257947700,390,12.99, 
257949220,55,7.85, 
257952500,250,12.44, 12
257958500,235,14.75, 20
257963000,1000,34.07, 
257964500,400,15.36, 46
257974700,300,10.65, 
257975700,550,14.95, 76
257979500,250,14.05, 23
257980500,400,15.44, 24
257984230,180,10.5, 11
257985270,150,10.67, 12
257986500,112,10.37, 17
257994890,369,10.42, 
258015500,600,20.12, 161
258035000,1000,38.32, 
258036000,1800,42.0, 
258037000,720,23.85, 212
258054000,3264,53.0, 
258057000,4500,67.4, 1312
258070020,150,10.0, 8
258071000,3300,67.5, 999
258074000,600,19.78, 123
258078000,473,18.05, 80
258083000,1018,34.85, 
258084000,1500,44.65, 497
258086000,4030,63.5, 
258099000,1710,46.59, 
258128000,1000,27.49, 
258138000,4200,65.0, 
258139000,5310,133.88, 
258141000,1710,47.87, 
258174000,3536,58.0, 
258183000,1020,27.43, 
258185000,2240,45.42, 299
258186000,3060,56.0, 571
258205000,850,44.9, 
258216000,1200,27.13, 
258217000,4270,61.88, 
258224000,370,21.7, 57
258228000,1000,35.49, 
258238000,4700,64.0, 
