mmsi,real_power,real_length
412413084,208,32
412413053,198,29
412413948,273,
412413134,184,28
412533952,240,39
412413968,204,33
412413173,,32
412413033,217,36
412413967,209,33
412413988,277,44
412413122,225,
412413986,255,40
412400009,217,32
412413243,,32
412413127,,44
412413864,,29
412414104,308,45
412413997,,40
412413964,246,
412413941,,45
412413277,,34
412413979,329,
412413999,298,45
412413786,,36
412413922,521,48
412413946,540,44
412410765,396,49
412410777,,23
412410898,279,40
412410817,134,
412480010,358,41
412410398,220,35
412410811,,26
412410463,201,
412410537,,22
412410323,,32
412410702,,31
412410703,,32
412410837,294,29
412410767,,40
412410781,,34
412410782,,34
412586741,270,
412410404,,31
412410409,,38
412410432,,38
412410706,,25
412410842,,30
412410877,265,40
412410823,227,35
412410826,,37
412410878,,28
412410759,,40
412282828,396,
412410871,300,40
412410894,321,50
412410762,692,66
412410684,382,37
412410628,600,
412410656,450,
412410642,540,
412410644,528,
412410661,450,38
412410685,540,45
412410649,205,32
412410873,400,
412410816,540,39
412422252,,30
412421955,,30
412421802,,31
412421901,,30
412422554,,30
412421583,,30
412420212,,38
412421974,,30
412421977,,30
412421978,,30
412421983,,30
412421984,,30
412421985,,30
412421986,,30
412421987,,30
412421993,,30
412421994,,30
412421995,,30
412421996,,31
412421997,,30
412421936,,30
412421998,,30
412422002,,30
412423137,,30
412421962,,30
412421965,,30
412421966,,31
412424217,,30
412421968,,30
412421988,,30
412421991,,30
412421992,,30
412422005,,30
412422006,,30
412422019,,30
412422023,,30
412422025,,30
412422027,,30
412422033,,31
412422036,,30
412422041,,30
412423624,,30
412422045,,30
412422052,,34
412422054,,30
412422058,,30
412421906,,30
412421911,,30
412421923,,30
412421945,,30
412421843,,30
413243003,,30
412422063,,30
412422064,,30
412422066,,30
412422069,,30
412422071,,30
412422072,,30
413243029,,33
412422073,,30
412422074,,30
412422076,,30
412422083,,30
412422084,,30
412422085,,30
412422088,,28
412422091,,30
412422094,,30
412422096,,30
412421903,,30
412421578,,30
412421617,,30
412421691,,30
412421823,,30
412420474,,30
412421827,,30
412423889,,30
412421847,,30
412421848,,30
412421896,,30
412421894,,30
412421838,,30
412421839,,30
412421858,,30
412421861,,30
412422821,,31
412421864,,30
412421869,,30
412421871,,30
412421873,,31
412421875,,30
412422011,,30
412424267,,30
412422012,,30
412422013,,28
412422733,,30
412422016,,32
412422649,,36
412422022,,30
412423646,,37
412422024,,30
412422028,,30
412422035,,27
412422037,,30
412423699,,30
412422427,,33
412421705,,30
412421729,,30
412421748,,30
412421819,,30
412421532,,30
412422994,,30
412422637,,30
412423194,,33
412421491,,30
412421529,,30
412422645,,30
412423815,,30
412422827,,30
412422559,,33
412423196,,31
412422685,,30
412422987,,30
412421504,,30
412423014,,30
412422923,,27
412422985,,30
412423265,,30
412422187,,30
412422922,,30
412422731,,33
412422997,,30
412400053,,36
412423955,,30
412422905,,30
412422421,,30
412420004,,30
412422612,,30
412423422,,30
412423291,,30
412423638,,30
412423397,,30
412423802,,30
412422935,,30
412423642,,30
412423167,,30
412423106,,30
412423354,,30
412423768,,30
412423387,,30
412422308,,30
412423963,,30
412422932,,30
412422833,,30
412423218,,31
412423417,,30
412422942,,30
412423295,,30
412422954,,30
412423289,,30
412423374,,30
412423428,,30
412423418,,30
412423105,,30
412422009,,35
412421764,,36
412422949,,30
412422961,,30
412423015,,30
412423016,,34
412422986,,30
412423566,,30
412423743,,30
412422976,,30
412400057,284,
412422963,,30
412422154,,30
412422894,,33
412422981,,30
412423967,,30
412423086,,30
412423007,,30
412422898,,30
412423208,,30
412068795,,30
412424137,,30
412423011,,30
412422623,,30
412423138,,30
412422362,,38
412422979,,30
412422101,,30
412422186,,31
412424025,,30
412422715,,30
412422906,,30
412422907,,30
412423002,,30
412423013,,30
412420346,,38
412423212,,33
412422678,,39
412422241,,30
412422398,,42
412422507,,30
412423198,,30
412422245,,30
412422051,205,
412421893,,30
412423056,,30
412411257,,31
412411274,262,
412411211,221,29
412411221,242,
412411019,,33
412411223,243,33
413000084,,36
412411225,287,38
412411239,248,
412411047,316,
412411093,226,28
412411249,,34
412411254,,34
412411115,440,39
412411256,218,
412414451,400,
412415034,243,
412415042,209,
412414708,,37
412415248,226,
412414731,217,
412414736,,39
412414667,,37
412415083,132,
412415237,224,
412415128,243,
412415412,215,
412415188,254,
412415212,254,
412414596,242,
412414716,,33
412414717,243,
412414765,266,36
412414727,300,
412414548,230,
412414689,202,37
412414688,219,
412415486,207,
412414713,204,
412414761,232,
412414737,207,
412415358,182,
412414671,243,
412415977,237,
412415504,230,
412414631,,43
412415517,216,
412414504,210,
412415523,330,
412414561,,34
412414561,,34
412414773,236,36
412415588,400,
412414792,,30
412414613,141,
412414739,,32
412414745,,30
412414747,,30
412414578,,38
412414772,216,
412414577,,37
412414576,,38
412414788,,38
412414788,,38
412414608,,31
412414783,285,
412414741,303,
412414742,316,
412414697,551,67
412414604,400,45
412415951,180,
412414519,232,
412415911,402,
412414579,540,
412415555,219,
412414583,396,44
412461042,761,
412461044,,19
412480747,970,38
412480829,1081,37
412480831,1081,38
412480774,1119,37
412480766,1066,38
412461054,1051,
412480768,906,37
412480751,,39
