,mmsi,shiptype,length,tonnage,length_stddev,tonnage_stddev,number_shiptypes
2087,431395000,Drifting_longlines,51.4,547.4,0.0,97.1895387972,1
2088,441219253,Drifting_longlines,33.76,199.0,,,1
2089,572448000,Bunker,113.31,4341.0,,,1
2090,441910000,Drifting_longlines,49.024,549.4,0.0384162264104,92.1705116933,1
2091,416002474,Drifting_longlines,22.55,70.58,,,1
2092,412420915,Drifting_longlines,41.0,461.0,0.0,0.0,1
2093,416529000,Drifting_longlines,55.1,726.0,,,1
2094,224528000,Drifting_longlines,45.5,,0.0,154.270320406,1
2095,512000192,Trawlers,58.9,1386.0,,,1
2096,636092421,Reefer,134.02,7313.0,0.0,0.0,1
2097,432984000,Drifting_longlines,50.59,526.0,0.0,94.378271146,1
2098,224176442,Drifting_longlines,20.45,50.66,,,1
2099,227321780,Trawlers,21.0,56.0,,,1
2100,366780440,Trollers,22.25,75.0,,,1
2101,416833000,Reefer|Drifting_longlines,53.15,498.0,0.0,0.0,2
2102,367600830,Recreational_fishing,21.76,89.0,,,1
2103,228231700,Purse_seines,84.1,2439.66666667,0.0,86.9495875162,1
2104,576237000,Drifting_longlines,23.8,86.0,,,1
2105,367704430,Recreational_fishing,24.4,92.0,,,1
2106,250000958,Trawlers,20.6,109.0,,,1
2107,431465000,Research|Drifting_longlines,77.85,2205.0,0.0,324.671399525,2
2108,512001883,Trawlers,15.4,34.4,,,1
2109,367159840,Pole_and_line,23.5,106.0,,,1
2110,247065200,Purse_seines,42.09,264.0,,,1
2111,224456000,Drifting_longlines,44.4625,,0.0218797487247,124.814983643,1
2112,247142730,Drifting_longlines,26.9,157.0,,,1
2113,440233000,Purse_seines,73.255,733.0,3.61871721549,0.0,1
2114,354874000,Reefer,85.83,2856.0,,,1
2115,416002298,Drifting_longlines,25.8,79.72,,,1
2116,367487530,Recreational_fishing,20.7,99.0,,,1
2117,224041250,Purse_seines,36.69,240.76,,,1
2118,576689000,Reefer,141.0,8483.0,0.0,0.0,1
2119,432475000,Drifting_longlines,50.69,493.4,0.0,95.9408672048,1
2120,367323610,Drifting_longlines,25.815,135.5,0.00534522483825,6.94879228972,1
2121,224004420,Purse_seines,21.6,54.18,,,1
2122,553111771,Purse_seines,71.79,1350.0,,,1
2123,416002135,Drifting_longlines,27.0,79.84,0.0,0.184752086141,1
2124,664384000,Purse_seines,74.278,2148.8,3.68501696061,104.0,1
2125,367109680,Trollers|Pole_and_line,14.23,30.5,0.0,1.73205080757,2
2126,224041480,Purse_seines,20.0,51.62,,,1
2127,250000957,Trawlers,23.2,224.0,,,1
2128,247354400,Purse_seines,81.845,2137.0,0.0635085296109,0.0,1
2129,431401174,Unknown,34.98,85.0,,,1
2130,224108000,Drifting_longlines,35.1,,0.0,68.214593521,1
2131,228367000,Unknown,22.89,148.78,,,1
2132,352844000,Reefer,92.21,3264.0,,,1
2133,416702000,Drifting_longlines|Reefer,80.49,1866.0,2.96758038363,0.0,2
2134,247144910,Purse_seines,25.9,87.0,,,1
2135,416167600,Drifting_longlines,55.9,536.0,0.0,0.0,1
2136,512002681,Trawlers,32.1,498.0,,,1
2137,642525032,Purse_seines,34.5,119.04,,,1
2138,412420906,Drifting_longlines,41.0,461.0,0.0,0.0,1
2139,416002642,Drifting_longlines,26.8,87.215,0.0,0.248260615752,1
2140,366940990,Pole_and_line,21.99,92.0,,,1
2141,431686000,Purse_seines,57.8,1096.0,,,1
2142,224276000,Unknown,31.9666666667,193.0,2.425,0.0,1
2143,224161140,Drifting_longlines,23.0,73.0,,,1
2144,224097940,Purse_seines,25.34,75.0,,,1
2145,36764000,Purse_seines,58.8944444444,1216.44444444,2.31288300132,196.377895339,1
2146,224108450,Purse_seines,23.31,87.0,,,1
2147,247144150,Unknown,26.36,139.0,,,1
2148,249000882,Unknown,23.0,138.0,,,1
2149,540001900,Drifting_longlines,21.0,93.0,,,1
2150,224185250,Unknown,26.0,62.33,,,1
2151,247121180,Trawlers,24.84,79.0,,,1
2152,257629500,Purse_seines,26.33,169.0,,,1
2153,367490480,Drifting_longlines,26.82,144.0,,,1
2154,224104820,Pole_and_line,32.5,177.0,,,1
2155,367700310,Recreational_fishing,21.6,91.0,,,1
2156,224147740,Pole_and_line,29.72,148.0,,,1
2157,529529000,Reefer,103.73,3835.0,,,1
2158,538004149,Bunker,98.12,3978.0,,,1
2159,352247000,Reefer,115.0,5286.0,,,1
2160,512001926,Recreational_fishing,16.5,47.0,,,1
2161,273526300,Trawlers,120.47,,,,1
2162,576375000,Pole_and_line,42.7,491.0,3.3469916255,27.6490612541,1
2163,431469000,Drifting_longlines|Research,50.6,499.0,0.0,0.0,2
2164,416002507,Drifting_longlines,17.3,27.51,,,1
2165,416221600,Drifting_longlines,23.9,82.0,,,1
2166,233345000,Trawlers,26.23,,,,1
2167,238279740,Handliners,23.71,124.0,,,1
2168,247252970,Trawlers,24.8,109.0,,,1
2169,416001745,Drifting_longlines,20.3,43.53,,,1
2170,416229500,Drifting_longlines,22.3,56.15,,,1
2171,247220040,Purse_seines,24.57,63.0,,,1
2172,416001033,Drifting_longlines,21.4,49.26,,,1
2173,367034320,Recreational_fishing,19.81,65.0,,,1
2174,416002173,Drifting_longlines,23.65,76.83,,,1
2175,576660000,Drifting_longlines,23.8,93.18,,,1
2176,247083420,Trawlers,27.3,120.0,,,1
2177,431201000,Unknown|Reefer,122.991666667,4969.0,2.83759962318,0.0,2
2178,735057565,Purse_seines,73.135,,5.61761811922,537.513100616,1
2179,412420911,Drifting_longlines,41.0,461.0,0.0,0.0,1
2180,224431000,Purse_seines,53.5666666667,940.65,3.65092190676,85.532453355,1
2181,440885000,Drifting_longlines,49.61,501.75,0.0,97.3251790453,1
2182,431813000,Drifting_longlines,49.99,451.0,0.0,84.3380295348,1
2183,224306000,Drifting_longlines,29.1,220.0,0.0,0.0,1
2184,567334000,Purse_seines,79.0,2028.5,0.0,86.0581198958,1
2185,576732000,Reefer|Recreational_fishing,100.98,3936.0,0.0,0.0,2
2186,412460283,Drifting_longlines,38.85,302.0,0.0,0.0,1
2187,247096440,Drifting_longlines,23.9,111.0,,,1
2188,440820000,Drifting_longlines,47.21,384.25,0.0,0.436435780472,1
2189,431701990,Drifting_longlines,31.0,,0.0,55.4256258422,1
2190,441240000,Reefer,81.54,1687.5,3.01470680877,213.274471046,1
2191,247082580,Trawlers,27.2,120.0,,,1
2192,412326972,Drifting_longlines,37.16,271.0,0.0,0.0,1
2193,636091097,Reefer,134.02,7329.0,0.0,0.0,1
2194,413270220,Drifting_longlines|Reefer,49.2566666667,619.0,0.0792661072337,0.0,2
2195,416217500,Drifting_longlines,29.4,99.0,0.0,0.0,1
2196,441242000,Drifting_longlines,51.028,,0.0361448698006,109.195001658,1
2197,416349000,Drifting_longlines,58.8,660.0,0.0,0.0,1
2198,432410000,Purse_seines|Unknown,46.415,634.0,,,2
2199,413201090,Drifting_longlines,47.96,577.0,0.0432346015274,0.0,1
2200,416001958,Drifting_longlines,27.36,84.43,,,1
2201,416001225,Drifting_longlines,27.9,99.005,0.0,0.00534522483825,1
2202,367046140,Recreational_fishing,15.7,5.0,,,1
2203,665111120,Pole_and_line,22.0,64.0,,,1
2204,416002099,Drifting_longlines,22.2,52.48,,,1
2205,374048000,Reefer,95.2,2495.0,0.0,0.0,1
2206,247100960,Drifting_longlines,26.55,94.0,,,1
2207,412689850,Drifting_longlines,32.4,128.0,,,1
2208,247061690,Purse_seines,21.44,45.0,,,1
2209,432106000,Drifting_longlines|Research,50.94,499.0,0.0,0.0,2
2210,271072109,Unknown,24.4,79.0,,,1
2211,224416530,Unknown,25.06,83.41,,,1
2212,440934000,Drifting_longlines,49.61,469.0,0.0,92.5243854601,1
2213,224047360,Unknown,28.0,223.61,,,1
2214,316028083,Unknown,13.39,37.67,,,1
2215,520146000,Drifting_longlines,,,6.68215908221,80.6101730553,1
2216,431225000,Drifting_longlines,48.865,,1.88793538025,105.077748993,1
2217,369354000,Recreational_fishing,15.7,,,,1
2218,735057587,Purse_seines,77.83,1798.5,3.66040070666,229.208056868,1
2219,440989000,Drifting_longlines,47.03,,0.147560813051,98.8657447444,1
2220,416002362,Drifting_longlines,20.09,37.91,,,1
2221,664097000,Purse_seines,79.5,2298.0,,,1
2222,512006000,Drifting_longlines,46.5,1079.0,,,1
2223,367191940,Unknown|Trollers,23.59,113.5,0.0,6.35085296109,2
2224,224068580,Unknown,21.85,57.05,,,1
2225,441081000,Drifting_longlines,47.2075,358.0,0.00436435780472,45.3893211691,1
2226,224099320,Pole_and_line,34.2,175.0,,,1
2227,224016890,Purse_seines,21.0,40.7,,,1
2228,416015700,Drifting_longlines,54.85,708.0,0.0,0.0,1
2229,416245800,Drifting_longlines,38.0,263.0,0.0,0.0,1
2230,529469000,Purse_seines,72.64,1803.0,,,1
2231,271072478,Purse_seines,30.7,166.85,,,1
2232,247145720,Trawlers,29.8,158.0,,,1
2233,548055100,Drifting_longlines,49.275,642.0,2.50766566687,66.8710844497,1
2234,316028561,Trollers|Unknown,12.95,,0.0,7.07831430026,2
2235,263407240,Drifting_longlines,24.0,187.12,,,1
2236,224180740,Purse_seines,20.5,40.69,,,1
2237,224101950,Unknown|Drifting_longlines,26.925,,3.05258956648,60.790491462,2
2238,416000143,Drifting_longlines,24.1,57.65,,,1
2239,367104150,Pole_and_line,25.0,90.0,,,1
2240,367179000,Purse_seines,67.78,1239.5,4.29756076995,188.68643679,1
2241,246429000,Trawlers,142.5,9494.0,,,1
2242,316024796,Trollers|Unknown,13.64,35.91,0.0,6.82428018182,2
2243,663136000,Purse_seines,74.725,2107.0,5.12218451381,0.0,1
2244,224755000,Purse_seines,79.4166666667,2082.0,5.81265198312,0.0,1
2245,228263000,Trawlers,20.79,121.12,,,1
2246,416228600,Drifting_longlines,23.9,95.0,,,1
2247,416003071,Drifting_longlines,23.66,73.4,,,1
2248,432353000,Drifting_longlines,49.39,418.6,0.0,79.5187135613,1
2249,605066452,Purse_seines,30.1,157.64,,,1
2250,564260000,Bunker,102.7,4568.0,,,1
2251,271069011,Purse_seines|Unknown,32.15,145.75,,,2
2252,664085000,Drifting_longlines,39.0,296.0,,,1
2253,520050000,Drifting_longlines,29.3,225.0,,,1
2254,367778000,Purse_seines,20.11,99.0,,,1
2255,312932000,Reefer,65.85,1980.0,,,1
2256,367648240,Unknown,15.24,29.0,,,1
2257,312888000,Drifting_longlines,25.75,80.0,1.97773319015,0.0,1
2258,250512000,Trawlers,64.6,1499.0,,,1
2259,367513810,Drifting_longlines,22.735,150.5,0.00534522483825,8.01783725737,1
2260,247143660,Trawlers,24.32,107.0,,,1
2261,224110320,Drifting_longlines,20.9,81.64,,,1
2262,510032000,Drifting_longlines,26.26,112.0,,,1
2263,416001047,Drifting_longlines,22.1,58.43,,,1
2264,227919000,Purse_seines,29.45,130.0,0.0,0.0,1
2265,416001252,Drifting_longlines,23.95,73.68,,,1
2266,247083260,Trawlers,25.3,131.0,,,1
