mmsi,country
412284296,CHN
412697150,CHN
412286428,CHN
271072142,TUR
412412205,CHN
412449798,CHN
412012877,CHN
316011640,CAN
412438502,CHN
412348967,CHN
412324621,CHN
600011817,
412472062,CHN
412050505,CHN
316013660,CAN
999002315,
412412254,CHN
412420217,CHN
412588888,CHN
412423213,CHN
412451254,CHN
412450321,CHN
800025687,
257618500,NOR
701078000,ARG
412364721,CHN
271072419,TUR
440312840,KOR
251113540,ISL
412413038,CHN
412005089,CHN
258590000,NOR
235090081,GBR
412433808,CHN
367146590,USA
412365208,CHN
413002303,CHN
412283791,CHN
412400074,CHN
412560666,CHN
412214365,CHN
412450887,CHN
412430199,CHN
412436542,CHN
413001503,CHN
200002406,
412450391,CHN
257488600,NOR
412370482,CHN
412411658,CHN
412202771,CHN
466514490,QAT
412470581,CHN
412211566,CHN
412420957,CHN
412425217,CHN
412286458,CHN
900018697,
800036590,
366082000,USA
412587958,CHN
316026159,CAN
412433708,CHN
368408000,USA
905116311,
412423229,CHN
412423116,CHN
412450149,CHN
367300990,USA
225982487,ESP
412420854,CHN
412202435,CHN
1458,
412423612,CHN
412325928,CHN
412323178,CHN
412417666,CHN
257317440,NOR
815678787,
800016789,
412413753,CHN
259132000,NOR
900401316,
412410293,CHN
413324446,CHN
412348837,CHN
412433627,CHN
231214000,FRO
235008862,GBR
431105000,JPN
412438657,CHN
412430833,CHN
412333235,CHN
627168000,GHA
367561870,USA
412400054,CHN
412417493,CHN
412410261,CHN
412325376,CHN
412698930,CHN
200007686,
412428274,CHN
412447173,CHN
412450226,CHN
219003103,DNK
412461518,CHN
412329696,CHN
412410384,CHN
412325411,CHN
900029697,
800040424,
271056032,TUR
412325876,CHN
412413988,CHN
316007541,CAN
412420337,CHN
412358704,CHN
412422907,CHN
412324211,CHN
412010095,CHN
251192940,ISL
412568878,CHN
900030343,
412288616,CHN
600013224,
273841020,RUS
412431514,CHN
412322875,CHN
412446077,CHN
231240000,FRO
413889499,CHN
412444414,CHN
412439742,CHN
251345940,ISL
412464861,CHN
412332398,CHN
412450329,CHN
271072698,TUR
271072946,TUR
412320187,CHN
247150940,ITA
412464102,CHN
366726650,USA
412439272,CHN
412568235,CHN
412323241,CHN
412437705,CHN
101406542,
412413655,CHN
800016611,
412204122,CHN
242062100,MAR
312432014,BLZ
412450713,CHN
412412618,CHN
130660453,
431001016,JPN
412285216,CHN
412354597,CHN
412387018,CHN
412452783,CHN
367615170,USA
412470443,CHN
412420405,CHN
627194000,GHA
412349037,CHN
412427939,CHN
412370601,CHN
150048,
251812540,ISL
412418609,CHN
910100033,
200007596,
412422922,CHN
412283689,CHN
412433638,CHN
258071000,NOR
412423295,CHN
224301340,ESP
367413040,USA
235059415,GBR
800036260,
367153810,USA
247121810,ITA
412428045,CHN
200000429,
900005918,
431006207,JPN
412428541,CHN
412428226,CHN
271072740,TUR
800036663,
412441122,CHN
412415236,CHN
635019200,ATF
412323166,CHN
220278000,DNK
412444688,CHN
900005289,
412417894,CHN
367182670,USA
413804197,CHN
800040381,
412356999,CHN
368032000,USA
367676310,USA
413008816,CHN
257437000,NOR
412285251,CHN
412462644,CHN
412456010,CHN
412330326,CHN
412426063,CHN
412365384,CHN
200002021,
413828548,CHN
412438767,CHN
412466925,CHN
900017153,
412416501,CHN
257760700,NOR
412421517,CHN
800036714,
412820259,CHN
412445144,CHN
800044681,
416298190,TWN
412460608,CHN
100705211,
431006419,JPN
412283698,CHN
412470473,CHN
251169340,ISL
271072207,TUR
316029374,CAN
412444927,CHN
412432967,CHN
412322223,CHN
412428721,CHN
412324643,CHN
412201739,CHN
412428644,CHN
412286051,CHN
412323653,CHN
240010779,GRC
412420863,CHN
412008162,CHN
412015170,CHN
412412659,CHN
257205640,NOR
257065620,NOR
412370997,CHN
412451028,CHN
367112420,USA
412205543,CHN
341060000,KNA
412461567,CHN
412214253,CHN
800024570,
224319230,ESP
412269142,CHN
800026188,
412421435,CHN
367426770,USA
412328081,CHN
257002120,NOR
412444879,CHN
412413236,CHN
412285058,CHN
412449485,CHN
800032950,
333321275,
251299840,ISL
247127430,ITA
271072887,TUR
412349662,CHN
412438762,CHN
412445306,CHN
200005400,
316001464,CAN
366701650,USA
412420799,CHN
905105368,
412422132,CHN
235016196,GBR
412477012,CHN
412366352,CHN
412521554,CHN
367336730,USA
412435617,CHN
412671890,CHN
412450991,CHN
412320351,CHN
412327693,CHN
412433334,CHN
200050493,
412325812,CHN
235106178,GBR
412332162,CHN
412442026,CHN
413123567,CHN
412448633,CHN
224297270,ESP
440339000,KOR
905110001,
432507000,JPN
412416101,CHN
251446110,ISL
412686663,CHN
413000283,CHN
212470000,CYP
412325278,CHN
412423419,CHN
412423183,CHN
412400219,CHN
412348301,CHN
412365676,CHN
412225018,CHN
800044058,
412461183,CHN
