mmsi,eu_fishing,eu_label,eu_sublabel,eu_label2,eu_sublabel2,eu_length,eu_tonnage
235002470,Fishing vessel,Trawlers,Trawlers,,,16.7,106.0
245352000,Fishing vessel,Trawlers,Trawlers,,,23.7,75.0
237918000,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,28.0,112.0
224020060,Fishing vessel,Set gear,Set longlines,Set gear,Pots and traps,21.5,82.09
261005180,Fishing vessel,Set gear,Set gillnets,Set gear,Set longlines,17.58,40.0
227317370,Fishing vessel,Set gear,Set gillnets,,,11.34,9.14
235037363,Fishing vessel,Trawlers,Trawlers,,,16.76,65.82
244750560,Fishing vessel,Trawlers,Trawlers,,,29.1,130.0
261003970,Fishing vessel,Trawlers,Trawlers,,,20.97,79.0
211319670,Fishing vessel,Trawlers,Trawlers,,,23.9,113.0
247301700,Fishing vessel,Trawlers,Trawlers,,,27.15,99.0
224135000,Fishing vessel,Drifting longlines,Drifting longlines,,,33.85,266.0
247071910,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,17.8,41.0
247100530,Fishing vessel,Trawlers,Trawlers,,,23.8,100.0
227106400,Fishing vessel,Trawlers,Trawlers,,,23.76,163.83
224073630,Fishing vessel,Purse seines,Purse seines,,,19.25,56.33
224098790,Fishing vessel,Trawlers,Trawlers,,,26.2,138.58
211699000,Fishing vessel,Trawlers,Trawlers,,,24.69,107.0
239213000,Fishing vessel,Purse seines,Purse seines,,,19.45,34.0
247071930,Fishing vessel,Trawlers,Trawlers,,,26.45,125.0
237959000,Fishing vessel,Purse seines,Purse seines,,,19.5,39.0
247102730,Fishing vessel,Trawlers,Trawlers,,,20.47,41.0
224043770,Fishing vessel,Trawlers,Trawlers,,,23.37,70.04
232007390,Fishing vessel,Trawlers,Trawlers,,,29.1,215.0
227322630,Fishing vessel,Set gear,Set gillnets,,,11.91,18.36
220323000,Fishing vessel,Trawlers,Trawlers,,,16.0,58.0
227574760,Fishing vessel,Set gear,Set gillnets,,,11.18,7.14
247080910,Fishing vessel,Trawlers,Trawlers,,,21.3,62.0
247051740,Fishing vessel,Trawlers,Trawlers,,,23.56,87.0
263413350,Fishing vessel,Trawlers,Trawlers,,,17.7,99.33
247092310,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,21.14,52.0
265646610,Fishing vessel,Set gear,Set gillnets,,,10.7,9.66
227146300,Fishing vessel,Purse seines,Purse seines,,,32.0,202.0
224150820,Fishing vessel,Purse seines,Purse seines,,,17.5,26.05
247076150,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,15.54,31.0
247142340,Fishing vessel,Trawlers,Trawlers,,,23.07,85.0
277442000,Fishing vessel,Trawlers,Trawlers,,,38.57,668.0
224011990,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,31.0,268.0
207422000,Fishing vessel,Trawlers,Trawlers,,,25.5,117.36
263500304,Fishing vessel,Set gear,Set gillnets,,,15.0,21.64
207824680,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,17.23,36.32
224014550,Fishing vessel,Trawlers,Trawlers,,,23.43,70.73
233860000,Fishing vessel,Trawlers,Trawlers,,,25.9,213.0
250000884,Fishing vessel,Trawlers,Trawlers,,,22.4,174.0
204813000,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set longlines,28.0,215.0
265687420,Fishing vessel,Set gear,Set gillnets,Pole and line,Pole and line,9.65,5.05
227318170,Fishing vessel,Trawlers,Trawlers,,,14.76,38.06
227393000,Fishing vessel,Trawlers,Trawlers,,,24.9,157.89
219018405,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,9.99,12.0
247081340,Fishing vessel,Purse seines,Purse seines,Set gear,Set longlines,19.45,60.0
247122250,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,18.95,38.0
247150350,Fishing vessel,Set gear,Set longlines,Fishing vessel,Fishing vessel,20.0,71.0
266101000,Fishing vessel,Trawlers,Trawlers,,,39.85,352.0
247044920,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,16.45,20.0
275414000,Fishing vessel,Trawlers,Trawlers,,,24.4,137.0
247121250,Fishing vessel,Trawlers,Trawlers,,,27.24,100.0
219922000,Fishing vessel,Set gear,Set gillnets,,,22.75,156.3
226216000,Fishing vessel,Trawlers,Trawlers,,,21.5,138.9
245954000,Fishing vessel,Trawlers,Trawlers,,,20.44,29.0
265749580,Fishing vessel,Trawlers,Trawlers,,,11.84,20.65
261018440,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,13.86,32.26
204209570,Fishing vessel,Pole and line,Pole and line,Fishing vessel,Fishing vessel,25.0,148.42
224101860,Fishing vessel,Purse seines,Purse seines,,,27.55,118.33
265708380,Fishing vessel,Set gear,Pots and traps,,,8.25,3.15
263408670,Fishing vessel,Purse seines,Purse seines,,,24.5,63.8
247155630,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,22.4,67.0
263307000,Fishing vessel,Set gear,Set gillnets,,,17.3,30.92
205240000,Fishing vessel,Fishing vessel,Fishing vessel,Trawlers,Trawlers,38.22,384.0
265752900,Fishing vessel,Set gear,Pots and traps,Fishing vessel,Fishing vessel,8.81,4.86
224189550,Fishing vessel,Set gear,Set gillnets,,,14.95,22.53
