mmsi,reefer_fishing,reefer_label,reefer_sublabel,reefer_length,reefer_tonnage
374014000,Nonfishing vessel,Reefer,Reefer,79.69,1610.0
374048000,Nonfishing vessel,Reefer,Reefer,95.2,2495.0
374083000,Nonfishing vessel,Reefer,Reefer,,
374115000,Nonfishing vessel,Reefer,Reefer,120.7,4444.0
374140000,Nonfishing vessel,Reefer,Reefer,95.2,2900.0
374173000,Nonfishing vessel,Reefer,Reefer,80.68,1998.0
374198000,Nonfishing vessel,Reefer,Reefer,,
374244000,Nonfishing vessel,Reefer,Reefer,113.37,4521.0
374317000,Nonfishing vessel,Reefer,Reefer,127.38,6049.0
374410000,Nonfishing vessel,Reefer,Reefer,,
374446000,Nonfishing vessel,Reefer,Reefer,120.75,4521.0
374478000,Nonfishing vessel,Reefer,Reefer,117.31,4988.0
374610000,Nonfishing vessel,Reefer,Reefer,144.4,12413.0
374611000,Nonfishing vessel,Reefer,Reefer,99.02,3363.0
374612000,Nonfishing vessel,Reefer,Reefer,,
374723000,Nonfishing vessel,Reefer,Reefer,86.09,2713.0
374762000,Nonfishing vessel,Reefer,Reefer,120.75,4538.0
374830000,Nonfishing vessel,Reefer,Reefer,124.7,4963.0
374831000,Nonfishing vessel,Reefer,Reefer,110.03,4071.0
374849000,Nonfishing vessel,Reefer,Reefer,95.08,3835.0
374906000,Nonfishing vessel,Reefer,Reefer,99.5,3822.0
376715000,Nonfishing vessel,Reefer,Reefer,,
412202350,Nonfishing vessel,Reefer,Reefer,84.33,1912.0
412202420,Nonfishing vessel,Reefer,Reefer,,
412202730,Nonfishing vessel,Reefer,Reefer,,
412203020,Nonfishing vessel,Reefer,Reefer,,
412203190,Nonfishing vessel,Reefer,Reefer,,
412203740,Nonfishing vessel,Reefer,Reefer,84.02,1950.0
412208610,Nonfishing vessel,Reefer,Reefer,86.33,2340.0
412217989,Nonfishing vessel,Reefer,Reefer,57.8,1095.0
412322280,Nonfishing vessel,Reefer,Reefer,92.23,3260.0
412322340,Nonfishing vessel,Reefer,Reefer,91.5,3218.0
412326020,Nonfishing vessel,Reefer,Reefer,75.99,1736.0
412401230,Nonfishing vessel,Reefer,Reefer,,
412440033,Nonfishing vessel,Reefer,Reefer,,
412551380,Nonfishing vessel,Reefer,Reefer,,
412553010,Nonfishing vessel,Reefer,Reefer,,
412699340,Nonfishing vessel,Reefer,Reefer,,
412899000,Nonfishing vessel,Reefer,Reefer,86.33,2340.0
412946000,Nonfishing vessel,Reefer,Reefer,86.33,2340.0
413202530,Nonfishing vessel,Reefer,Reefer,,
413447320,Nonfishing vessel,Reefer,Reefer,,
413554170,Nonfishing vessel,Reefer,Reefer,,
413692650,Nonfishing vessel,Reefer,Reefer,77.02,1593.0
416001900,Nonfishing vessel,Reefer,Reefer,83.0,1798.0
416064900,Nonfishing vessel,Reefer,Reefer,,
416308000,Nonfishing vessel,Reefer,Reefer,80.45,1872.0
416542000,Nonfishing vessel,Reefer,Reefer,,
416567000,Nonfishing vessel,Reefer,Reefer,105.3,2944.0
416602000,Nonfishing vessel,Reefer,Reefer,73.4,1095.0
416696000,Nonfishing vessel,Reefer,Reefer,111.1,3582.0
416702000,Nonfishing vessel,Reefer,Reefer,80.49,1866.0
416730000,Nonfishing vessel,Reefer,Reefer,,
416778000,Nonfishing vessel,Reefer,Reefer,100.0,3062.0
416788000,Nonfishing vessel,Reefer,Reefer,104.5,2912.46
416861000,Nonfishing vessel,Reefer,Reefer,73.4,1095.0
422733000,Nonfishing vessel,Reefer,Reefer,81.13,2277.0
431201000,Nonfishing vessel,Reefer,Reefer,116.7,4969.0
431263000,Nonfishing vessel,Reefer,Reefer,104.2,4865.0
431472000,Nonfishing vessel,Reefer,Reefer,94.0025,2272.5
431678000,Nonfishing vessel,Reefer,Reefer,121.733333333,4992.0
432661000,Nonfishing vessel,Reefer,Reefer,,
440046000,Nonfishing vessel,Reefer,Reefer,83.13,2339.0
440057000,Nonfishing vessel,Reefer,Reefer,115.0,5286.0
440097000,Nonfishing vessel,Reefer,Reefer,124.0,5469.0
440101000,Nonfishing vessel,Reefer,Reefer,120.7,4429.0
440102000,Nonfishing vessel,Reefer,Reefer,115.8,4189.0
440113000,Nonfishing vessel,Reefer,Reefer,120.75,4490.0
440116000,Nonfishing vessel,Reefer,Reefer,96.78,3437.0
440196000,Nonfishing vessel,Reefer,Reefer,85.07,1894.0
440214000,Nonfishing vessel,Reefer,Reefer,136.83,5893.0
440217000,Nonfishing vessel,Reefer,Reefer,116.08,4643.0
440220000,Nonfishing vessel,Reefer,Reefer,94.0025,2272.5
440222000,Nonfishing vessel,Reefer,Reefer,108.02,3696.0
440237000,Nonfishing vessel,Reefer,Reefer,97.17,3783.0
