mmsi,shipname,callsign,length,width,power,tonnage
257107740,VIBEKE,LM2540,10.66,4.1,156,12
257108040,ANGELSEN SENIOR,LM6975,14.98,4.53,275,24
257108240,BERGEBAS,LK3623,12.01,3.61,230,18
257108500,RUNAR F-5-G,LF5256,9.36,3.4,95,6
257108620,KASPARA F-73-LB,LK2002,7.93,2.73,45,NA
257108640,HAVUR,LM4189,16.05,4.72,370,24
257108940,SYLVIA,LM3862,10.05,3.35,225,8
257109120,STIG RUNE,LK2025,10.65,3.95,131,12
257109240,ELENA MARIE,LK2712,12.2,4.18,285,19
257109340,TROLLSUND,LK3373,10.48,3.85,152,15
257109420,STJERNEN,LK2029,10.07,3.04,155,10
257109540,ANTON JUNIOR,LM6676,10.55,3.26,115,7
257109640,VESTERBOEN,LM2819,14.95,4.79,310,24
257110040,HAVELLA,LM2606,8.82,3.14,75,6
257110120,VIKASKJAER,LK2046,10.98,3.41,109,8
257110720,TRAELBOEEN,LK2058,9.24,3.22,76,9
257110820,HTIND,LK2066,9.85,3.2,108,10
257110940,MORGENSTJERNE,LK 3552,NA,NA,NA,NA
257111140,STOKKVIK,LKMY,17.09,5.1,550,32
257111220,EVITA,LK2083,8.64,2.76,96,6
257111240,OEYGUTT,LM3902,15.3,4.75,275,24
257111540,LEISUND,LIOC,NA,NA,NA,NA
257111820,STRANDAR,LK2090,10.6,3.8,100,10
257111840,SATURN,LK5174,11.03,3.56,152,13
257111940,JANN YNGVE,LM9598,10.4,3.2,125,9
257112420,TOMMERVIK F-52-LB,LK2105,7.62,2.45,49,3
257112440,HARSTADKYST,LM2745,10.02,3.0,102,10
257113220,FLOING,LK2122,10.01,2.95,135,10
257113420,STIG,LK2124,8.07,2.87,80,4
257113440,MIA,LK5112,10.98,4.5,250,14
257113640,HILDE HELENE,LM6344,9.45,3.06,115,9
257113840,MARIA,LM5992,10.62,3.89,175,14
257113920,HOGBAKKEN F-119-LB,LK2137,8.82,3.14,95,6
257113940,FJORDFISK,LM7642,10.47,3.16,130,7
257114140,RAMGRUNN,LM9647,10.98,3.7,171,11
257114440,BOEEN,LM9388,10.95,3.85,143,14
257114520,FLUTIND,LK2155,10.05,3.35,115,10
257115020,ALINE,LK2164,14.41,3.95,183,24
257115220,SANDHOLMEN,LK2169,14.12,4.31,300,21
257115500,HALLVARD,LG6557,NA,NA,NA,NA
257115520,INGRID MARIE,LK2173,10.05,2.91,130,10
257115620,JUANITA,LK2174,10.03,2.93,80,10
257115640,SIKA,LK2280,10.52,3.7,150,12
257116000,RADEK,LNXT,53.55,8.53,1100,NA
257116240,BARJO,LK2006,9.97,3.1,100,10
257116740,HAVFRUA,LM6981,9.45,3.2,127,8
257117240,VARULV,LK3524,14.31,5.15,300,24
257117320,OEYBUEN,LK2206,10.35,3.87,131,11
257117500,MS STORMHAV,LM6458,12.83,3.96,156,17
257117620,NATALIE,LK2228,12.26,3.8,250,18
257117700,OLINE,LF5261,NA,NA,NA,NA
257117740,AMALIE,LM2510,10.06,2.91,182,9
257117820,KAJA MARIE,LK2233,12.2,4.18,160,19
257117840,DOENNVAER,LM6737,9.72,3.41,95,12
257117920,VARGSUNDVAERING,LK2234,14.87,5.24,379,24
257118040,KLUBBEN,LF3200,8.16,2.51,40,NA
257118140,HARDHAUS,LK7553,14.55,4.48,250,NA
257118240,SVELLINGEN,LM9001,9.45,3.06,102,8
257118320,SHARA,LK2257,9.1,3.18,84,8
257118500,ARINA,LG6095,12.27,4.05,285,14
257118520,SETTNOEY JR,LK2262,10.55,3.46,116,11
257118620,PARTNER F-60-LB,LK2264,9.0,3.14,80,7
257118700,FROY VIKING,LG6332,NA,NA,NA,NA
257118800,EVA MARIE,LM7813,12.83,3.96,156,NA
257118820,VESLEVAAG,LK2271,12.22,4.11,178,19
257119120,OMEGA,LK2275,14.88,5.61,355,25
257119340,RAUNEFJORD,LK2687,14.98,5.85,250,24
257119500,KATRINE,LF5265,NA,NA,NA,NA
257119640,ELLINORA,LM7957,10.97,3.89,120,17
257119840,INGMUNDSON,LK2670,10.55,3.46,300,12
257119940,MELOYPYNT,LK2103,NA,NA,NA,NA
257120320,M-SVENDSEN,LK2311,12.2,4.18,155,19
257120340,OVESEN JR,LM 8079,NA,NA,NA,NA
257120420,SISSEL F-17-LB,LK2312,10.66,3.62,120,12
257120500,HAVGLANS,LCUZ,62.6,12.8,4078,NA
257120620,HELENA,,NA,NA,NA,NA
257121000,HAVNEFJELL,LLTI,23.95,6.4,538,151
257121720,TIGERGUTT,LK2343,14.29,4.72,238,24
257121840,LUNA,LM7586,10.65,3.69,150,10
257121920,LINDA MERETE,LK2347,10.5,3.43,152,12
257122120,REMSKJAER,LK 2359,NA,NA,NA,NA
257122320,SOLENG,LK2365,10.64,3.11,127,10
