mmsi,clav_TUVI,rfmo_id,length,tonnage,power
224116380,8105,14929,25.7,152.0,217.0
413692650,26674,15241,77.02,1593.0,1103.0
416003451,1251,14372,29.88,98.0,829.0
636091098,37635,15978,126.0,6082.0,9599.0
440664000,26784,14340,91.58,3302.0,NA
431028000,15586,12059,57.0,664.0,NA
224049460,1581,14914,28.73,276.0,266.0
345080022,4717,3328,59.86,894.0,NA
432306000,1230,9145,50.6,438.0,999.0
303324000,1213,14573,22.49,122.0,850.0
263415290,825,14397,35.0,481.0,888.0
338793000,15752,13556,63.12,1376.0,NA
441233000,867,8269,48.01,380.0,1e3
432343000,637,9103,51.2,469.0,NA
367399460,16239,15147,9.75,13.0,85.0
440885000,854,8303,49.61,446.0,1200.0
277330000,20922,15964,136.12,9499.0,13379.0
431700660,1249,4437,48.4,427.0,520.0
440895000,271,8217,49.61,420.0,1200.0
432503000,1006,13616,50.6,439.0,NA
224658000,7969,8799,30.0,150.0,NA
303345000,14384,3562,55.5,975.0,NA
224464000,1652,12434,NA,NA,NA
367161930,926,14077,15.14,70.0,375.0
224295000,8117,14932,24.5,188.0,492.0
431700830,542,4375,49.39,379.0,NA
440788000,261,8157,49.91,397.0,1200.0
440239000,418,8429,47.21,385.0,1e3
636016998,38357,15989,119.55,5617.0,7200.0
412460001,1089,8097,46.88,576.0,1200.0
577161000,26675,15601,96.94,3132.0,3671.0
338074000,15724,13560,71.79,1284.0,NA
440933000,888,8285,49.9,414.0,1200.0
366207650,4357,14076,22.86,125.0,650.0
224250000,1935,14950,28.3,202.0,396.0
440705000,869,8287,49.9,414.0,1200.0
224597000,1689,14919,25.2,164.0,344.0
441584000,873,4923,49.33,394.0,1e3
224068000,1500,8907,32.0,150.0,NA
367019950,750,13481,17.52,63.0,350.0
224049860,193,8779,26.3,248.0,420.0
440089000,147,4813,50.01,442.0,1e3
441240000,26783,14339,84.36,1887.0,NA
775628000,4737,3538,78.62,1800.0,3600.0
416196600,15061,15262,28.1,96.0,650.0
412676430,685,8455,47.56,606.0,1300.0
224156000,828,6395,37.6,350.0,621.0
431703660,369,4505,48.4,379.0,999.0
432990000,24912,15657,50.59,436.0,999.0
431714000,367,4241,49.39,379.0,NA
432321000,15698,12109,56.0,645.0,2200.0
224136880,810,14946,26.3,217.0,496.0
416121900,6797,5607,45.6,470.0,1200.0
224071000,8207,14938,29.0,241.0,394.0
431200740,348,4819,50.59,462.0,1e3
412695760,2034,14724,49.15,622.0,1400.0
431600275,585,9163,38.1,199.0,789.0
224241000,1861,8843,26.4,78.0,NA
576843000,797,8009,50.8,625.0,NA
431395000,1195,4167,51.4,499.0,NA
353490000,24878,15623,77.3,2167.0,4400.0
200008650,28586,15934,37.08,265.0,1020.0
224050000,1432,12121,46.45,412.0,1650.0
1,14378,1078,65.16,1301.0,4300.0
431135000,989,4699,49.99,684.0,999.0
416004242,19805,14718,23.8,100.0,940.0
553111740,14408,9543,61.94,1280.0,NA
224029760,8140,14936,28.0,217.0,493.0
440731000,881,8261,47.21,380.0,1e3
416001036,13874,12477,27.25,99.0,750.0
576737000,784,9299,58.7,638.0,NA
316012074,21308,14890,12.65,10.0,471.0
440992000,36,8189,49.61,408.0,1200.0
367176750,929,14080,20.42,NA,410.0
431700550,1139,4485,51.2,454.0,NA
416240800,24747,15254,35.7,198.0,1032.0
567000445,5831,9359,30.9,98.0,650.0
367704000,4020,13395,30.9,86.0,1500.0
366941290,3543,12595,17.06,43.0,60.0
431200730,351,4215,49.9,409.0,986.0
224113270,8059,8865,24.7,73.0,NA
224055240,8132,8895,33.0,149.0,NA
416004421,24779,15269,23.9,100.0,420.0
431254000,15619,12077,57.8,646.0,NA
367147830,3591,12677,20.4,88.0,460.0
224651000,1546,3772,84.1,2479.0,4083.0
338200347,782,10629,18.59,47.0,500.0
431200990,435,13574,48.8,359.0,NA
367359220,15805,14606,56.6,990.0,NA
338873000,37702,15944,72.42,1914.0,5500.0
368206000,4493,14515,28.68,174.0,385.0
366934770,3745,12955,22.37,102.0,600.0
416002904,15020,12476,26.8,87.0,1e3
352577000,24864,15609,76.6,2860.0,7890.0
431600950,735,13589,31.0,137.0,999.0
354622000,4768,3775,73.33,1730.0,3600.0
359001000,796,4132,91.9,3007.0,6690.0
366749490,5070,5771,29.32,90.0,1350.0
