mmsi,primary_geartype,secondary_geartype
247148670,Trawlers,Purse seines
247300990,Trawlers,Set longlines
219006115,Set gillnets,Set longlines
226004000,Set gillnets,Set longlines
204225000,Set longlines,Drifting longlines
224246000,Set longlines,Set gillnets
247094260,Trawlers,Set longlines
261013080,Trawlers,Set gillnets
240427000,Trawlers,Purse seines
247141730,Trawlers,Purse seines
238752740,Purse seines,Set gillnets
247100350,Trawlers,Purse seines
246742000,Fishing vessel,Trawlers
237604000,Trawlers,Purse seines
227682170,Trawlers,Set gillnets
227315730,Set gillnets,Set longlines
247051150,Trawlers,Set gillnets
237346000,Trawlers,Purse seines
247121290,Trawlers,Purse seines
265680790,Trawlers,Set gillnets
247065610,Trawlers,Purse seines
247130740,Set longlines,Set gillnets
247085190,Trawlers,Set gillnets
235084601,Pots and traps,Set gillnets
265631320,Set gillnets,Pole and line
247051240,Trawlers,Set gillnets
240535000,Drifting longlines,Set gillnets
240440000,Trawlers,Purse seines
239436000,Purse seines,Set gillnets
227312180,Set gillnets,Pots and traps
246015000,Fishing vessel,Trawlers
211315870,Pots and traps,Set gillnets
263329000,Set gillnets,Set longlines
247141160,Trawlers,Purse seines
227385000,Set longlines,Set gillnets
247111680,Purse seines,Set longlines
247101140,Trawlers,Purse seines
247140580,Purse seines,Set longlines
247102560,Trawlers,Purse seines
227639660,Trawlers,Set gillnets
247054090,Trawlers,Set longlines
247071380,Trawlers,Purse seines
247100270,Trawlers,Purse seines
227277330,Set gillnets,Set longlines
261001760,Trawlers,Set gillnets
247142130,Trawlers,Purse seines
227143600,Fishing vessel,Trawlers
238598010,Trawlers,Purse seines
247300010,Purse seines,Set longlines
247121020,Trawlers,Purse seines
247132590,Set gillnets,Trollers
247140930,Trawlers,Purse seines
211593750,Trawlers,Fishing vessel
224069690,Set longlines,Set gillnets
265588050,Set gillnets,Pole and line
207326000,Set gillnets,Fishing vessel
219003849,Set gillnets,Trawlers
238825840,Purse seines,Set gillnets
247140240,Trawlers,Purse seines
237228000,Trawlers,Purse seines
224780000,Set longlines,Set gillnets
247120960,Trawlers,Purse seines
247101540,Trawlers,Purse seines
205161000,Trawlers,Fishing vessel
227323270,Trawlers,Set gillnets
237374000,Trawlers,Set gillnets
265563480,Pots and traps,Purse seines
261004430,Trawlers,Drifting longlines
247100620,Trawlers,Purse seines
227308650,Pots and traps,Trawlers
265661180,Trollers,Pots and traps
224141980,Set longlines,Set gillnets
247101050,Trawlers,Set gillnets
227883000,Set gillnets,Set longlines
207832280,Trawlers,Set gillnets
227728040,Set gillnets,Trawlers
265710690,Fishing vessel,Pots and traps
219001703,Set gillnets,Trawlers
247065740,Trawlers,Set gillnets
247100510,Trawlers,Purse seines
219008927,Trawlers,Set gillnets
227573960,Set gillnets,Pots and traps
247082740,Trawlers,Set gillnets
247094940,Purse seines,Pole and line
263500263,Pole and line,Set longlines
227784760,Set gillnets,Trollers
247142710,Trawlers,Set longlines
207822280,Set gillnets,Trawlers
250000528,Trawlers,Set gillnets
227573440,Purse seines,Set gillnets
