,lat_bin,lon_bin,f0_
868,72,45,3924.48069444
869,58,164,1570.95694444
870,-8,-169,1691.21833333
871,31,-149,75.9213888889
872,22,151,545.936111111
873,-8,153,1140.69541667
874,51,-14,10612.9597222
875,-7,43,1169.03069444
876,62,5,29965.4915278
877,55,18,35162.0554167
878,-10,-120,611.210833333
879,2,174,1289.60972222
880,-38,177,1522.17833333
881,-39,-163,8.67680555556
882,71,30,3979.81458333
883,11,-131,107.981944444
884,59,-7,10146.6647222
885,41,3,33041.9184722
886,47,-5,78950.6329167
887,-4,-129,103.4425
888,-21,165,987.177083333
889,50,-10,3083.24541667
890,14,160,1290.05138889
891,-19,52,1350.6525
892,1,-134,203.83625
893,8,-134,113.766527778
894,-19,51,1452.87333333
895,56,-4,3198.01194444
896,-22,-20,292.707222222
897,70,46,1146.12527778
898,7,175,466.074166667
899,52,-133,264.668472222
900,-48,71,167.49875
901,-5,-160,723.793888889
902,-20,-22,103.252361111
903,28,50,2914.20180556
904,-65,112,0.883055555556
905,15,-33,430.653472222
906,58,-172,2784.85958333
907,-12,164,1469.01972222
908,31,131,1289.71875
909,-12,72,230.371805556
910,54,-161,2859.25013889
911,-26,-76,2078.31319444
912,-25,-76,337.503333333
913,6,-79,67.0402777778
914,-2,59,394.387083333
915,31,149,156.761111111
916,-40,-47,112.865416667
917,7,172,164.485416667
918,-3,-86,866.826111111
919,-41,-171,206.483472222
920,-21,-109,192.438888889
921,5,-26,389.798472222
922,80,25,7.12180555556
923,50,-53,343.365555556
924,-8,62,475.324027778
925,-34,85,70.6976388889
926,-31,81,153.200833333
927,24,-162,294.649444444
928,-11,-152,1512.70736111
929,-2,66,359.903888889
930,68,8,66.1209722222
931,-4,-143,76.3506944444
932,-35,44,168.017916667
933,-19,-174,161.12875
934,-55,-38,450.310416667
935,-18,168,35.9363888889
936,-21,-93,143.819861111
937,-23,174,329.008472222
938,3,-19,251.823472222
939,2,-26,664.738472222
940,9,-39,49.0856944444
941,29,148,289.009861111
942,45,32,1.21652777778
943,-2,83,86.2694444444
944,18,135,119.619444444
945,-6,1,41.2469444444
946,7,64,606.08875
947,-16,-104,128.5325
948,89,-21,2.65319444444
949,1,-136,204.595416667
950,61,-41,504.513611111
951,71,49,382.518194444
952,23,144,10.6493055556
953,15,-112,149.620972222
954,-13,-11,135.99
955,-60,-36,48.4479166667
956,-31,-92,57.8970833333
957,14,-119,14.9251388889
958,-27,-114,174.851666667
959,-27,79,19.2976388889
960,-27,80,11.7306944444
961,30,148,188.880277778
962,-28,112,6.44416666667
963,6,-155,119.32875
964,36,133,714.038472222
965,-28,53,144.645694444
966,61,-180,9993.06736111
967,-37,162,69.6720833333
968,-24,97,106.446527778
969,7,-134,29.1551388889
970,19,175,20.7963888889
971,12,-162,49.8151388889
972,-39,57,444.335972222
973,55,-136,297.198333333
974,58,-169,793.174444444
975,-39,156,296.815416667
976,-4,146,203.151111111
977,12,-163,46.6993055556
978,50,141,2107.61805556
979,-14,-166,498.14375
980,34,11,42.75
981,-19,2,220.866527778
982,-17,-28,31.1616666667
983,-38,-5,16.9858333333
984,-32,-97,37.3683333333
985,21,-163,206.866388889
986,-40,64,618.799027778
987,-22,-4,1.92097222222
988,-39,-131,3.61680555556
989,37,19,29.7823611111
990,22,-172,35.7708333333
991,76,26,1032.79
992,9,-141,64.9494444444
993,-22,98,179.284166667
994,-12,-92,1.97638888889
995,-34,-168,113.491388889
996,10,-148,19.0327777778
997,-33,-153,209.944305556
998,17,-128,24.6033333333
999,26,-137,190.989166667
1000,12,-154,78.1423611111
1001,-36,55,371.306527778
1002,5,-38,37.5169444444
1003,38,163,131.565277778
1004,62,-31,836.710416667
1005,9,-146,21.5334722222
1006,38,-176,232.711944444
1007,-36,158,179.775555556
1008,-30,-131,336.622916667
1009,8,-128,71.8851388889
1010,47,-14,143.101388889
1011,-12,45,3.56625
1012,25,166,184.806111111
1013,-42,9,65.4255555556
1014,-11,-143,19.0783333333
1015,-33,-107,91.9954166667
1016,23,-50,125.39375
1017,-65,177,104.60625
1018,-14,-10,138.476388889
1019,42,156,1143.97361111
1020,58,162,245.282638889
1021,-30,5,114.390694444
1022,-19,-168,105.999166667
1023,25,-18,4.80847222222
1024,65,-38,243.344722222
1025,-21,-36,17.4755555556
1026,-58,-166,19.7645833333
